idade,renda_mensal,valor_financiamento,anos_trabalho,score_credito,inadimplente
56,6372.821687137379,33383.263886177854,30,603.6627580975972,1
69,3486.428716992063,39025.47713278081,28,657.9500943777145,1
46,3821.6265227851127,45338.5153478959,4,609.8230153850615,1
32,2022.0161361731982,17648.63077077816,1,671.4689358651503,1
60,3709.2172655540744,34835.721692856816,15,815.2356034940253,1
25,4798.356605277276,27416.304924821903,30,636.8454311780815,1
38,5143.765919038997,25535.267456767877,16,632.2651229007353,1
56,6342.911105780173,54718.52380797798,8,631.1064547539639,1
36,4780.352343738192,14297.595819586431,5,713.43346951499,0
40,4415.369793699555,28180.372355365642,15,621.8453007925734,1
28,3330.557332728521,27637.303070162438,3,644.817777249832,1
28,3007.38938765049,30476.697104133105,36,634.3701269719234,1
41,5455.372772002233,10275.878757370243,2,667.3125218715758,0
53,5426.6055276083625,20188.88721983167,2,768.8261303724744,0
57,2384.4809487268412,30488.43343471412,23,582.9731703005714,1
41,5084.643830730222,16046.8469363993,4,637.7304404838995,1
20,4975.575537093764,39534.5484334392,38,662.3442708949563,1
39,2329.2866724787086,35796.21388970119,13,585.1665290825787,1
19,4810.685207183766,14127.823343991167,27,607.662270590046,1
41,2425.680310777289,27696.436514990564,7,588.5602613552587,1
61,1000.0,33755.21900439554,36,654.3337471570995,1
47,3759.8463794619256,16242.30075256046,32,533.7254522521432,1
55,4386.722057882484,14225.411153677444,18,612.2320897485858,0
19,3827.39379267533,20424.5197880266,17,608.6023229053865,1
38,8300.660225781961,56874.71279692501,18,653.5720854888466,1
50,4568.276843852462,40943.380804302345,34,800.2263340931979,1
29,4220.71272894805,23914.0521970302,12,701.2446714656992,1
39,4644.386954971136,16689.022011983772,34,634.0019901509872,0
61,3338.0214933998536,21746.79493843398,16,674.5594726525569,1
42,5394.218593140308,45223.5142040041,38,735.0197682549236,1
66,4541.502919265652,50337.66600231226,23,700.1189467073785,1
44,4472.757555838736,21881.250310796408,29,660.4638537546474,1
59,3063.8196656995915,33110.909800249974,19,708.1288682265374,1
45,1653.50451032636,27377.60643958147,26,649.4214894384404,1
33,3247.920866384064,42703.17360004263,9,674.9996461718185,1
32,4423.950784389838,19060.618432990603,26,634.2529333701817,1
64,3332.950780382581,39789.95522479609,10,665.9057674448933,1
68,4437.590750601056,16598.59325030353,30,672.1380325272276,0
61,3651.4571847155426,39477.55389938367,36,662.037205870107,1
69,4645.869226939785,21492.70641640774,16,561.8320107699476,1
20,2534.7638111870288,26855.517835402108,3,573.2547931503642,1
54,4289.335017827622,23545.760807067294,13,692.169859518258,1
68,3038.5687804729046,49611.362470473454,33,773.0963717625892,1
24,1692.575586804046,39939.927376976404,12,683.2349715122311,1
38,3752.2688154574375,25886.48614749095,8,623.6702015401472,1
26,6304.476360727071,21752.48070926134,24,713.7714277834418,1
56,1812.1353882310264,43135.99983199683,3,619.4485652437763,1
35,4179.088375591299,5000.0,21,620.7236059185537,0
21,5196.365594896337,34791.77853497132,11,736.5403154651531,1
42,7450.046027716677,20407.117413414526,30,675.9524105369724,1
31,3260.6005263299685,52541.62195903942,0,714.904691310318,1
67,3051.9990930935305,57307.08872350795,23,581.1048017603209,1
26,2249.9617060911005,30306.900502342924,1,583.1937666409177,1
43,5710.774502269329,26345.540445175924,15,675.7620798696076,1
19,2698.8785061413873,30680.06806607036,37,658.0999088202016,1
37,3444.1053523369746,23783.858849436503,16,732.5659679387979,1
45,1226.5931839431173,22055.66254508869,14,632.2690632818229,1
64,5325.957764017789,32345.686060041382,11,636.9239673620674,1
24,5737.387421167039,36237.51055106776,38,628.2117777062091,1
61,5268.662595376548,31332.749081090205,22,659.4752911214296,1
25,1592.012077969423,32901.03374505177,32,691.4619905839365,1
64,4910.72656116896,23674.438754417944,30,675.8613023173514,1
52,1490.9944229139987,20661.810011436508,28,681.9770631017213,1
31,4087.0604530963606,20564.34062646344,32,586.7102057620975,1
34,4307.616369975696,37719.50357363721,31,639.082580160136,1
53,4465.274827162398,30796.15467747377,22,647.1246958618293,1
67,4801.9547989562025,32015.261819516865,3,604.3591200766359,1
57,3987.949594661092,33413.34058556404,31,677.8008076866807,1
21,1056.3557309071712,29421.81146835785,37,618.6723672681273,1
19,4802.681513199298,31084.57202048485,4,730.8304062650112,1
23,4146.412211691621,42958.12220953282,39,693.8436766002982,1
59,2646.0703129431504,37769.160365356234,5,644.7120326378445,1
21,1645.9038682950868,28276.426183620493,17,574.6506764053347,1
46,6310.033278886538,25278.127888881187,19,697.7477511479991,1
35,5846.950807436024,40272.804010866064,3,664.3582065321747,1
43,5058.936110961182,33327.708111299966,21,660.6297213286473,1
61,2985.5501331479454,26920.113174968545,39,724.0959962865131,1
51,1000.0,17086.51248374307,1,748.3617670807607,1
27,5147.018763152852,46940.427756873774,4,627.0572577147917,1
53,4550.030160782612,18729.52003209453,9,696.5540737662589,1
31,3438.006536391735,32844.26824340067,13,646.6072955870075,1
48,5687.2094600468145,48252.41358177013,30,615.1357020271641,1
65,5271.9963009442745,26587.781519764834,14,661.0178129895785,1
32,4264.143232346274,29545.22694034652,23,732.5592704671044,1
25,4052.587626806671,38537.27768748877,7,618.5549567544313,1
31,4076.451576399522,18068.6432776848,2,648.4836791847049,1
40,5019.909809252119,13301.991656797942,34,692.9051145680069,0
57,2713.7854801855174,26428.953714128194,36,625.7913490391657,1
38,4638.974682677555,30807.045851839204,20,581.0057967153624,1
33,2619.1135832956143,30693.934764328475,20,621.618336927318,1
62,6004.832757628351,44172.02041921342,3,586.0064837028203,1
35,4798.192857362852,20540.991220335352,27,708.1117184930347,1
64,2967.6576075416056,28562.89141485969,27,686.6472155373658,1
41,4120.893736044625,45072.68229501665,19,631.697217180353,1
43,2719.320429957939,27221.55310130631,37,686.2687963996814,1
42,6256.169256551194,49869.756709957415,1,648.6351526121662,1
62,6434.313976706814,27657.035511402282,16,723.70948171443,1
58,5044.335523844272,23059.58843261403,23,691.017622314364,1
46,6334.984851481866,29608.35790736261,21,716.5030270779989,1
32,4227.6939233087505,32595.919073539822,23,597.8465433856159,1
62,5145.268850762195,25884.539873979025,25,617.620195756695,1
18,5837.086782864633,33981.392085638705,4,649.8431161450903,1
42,3991.3846067261243,28508.237394246422,5,613.1925104910127,1
24,4106.655785976018,42694.83906237062,28,545.363680463379,1
26,5400.4849021433465,35078.92622212217,1,620.630285605356,1
41,4969.746948393989,30107.61757071221,28,627.0106727932618,1
18,2866.808919698421,26834.931742593235,3,716.5975335692303,1
61,1000.0,38028.41519794514,17,641.6049005407365,1
25,3736.707906104428,30311.685977879777,31,649.242315302506,1
41,1000.0,25475.249375208736,25,708.4342854772146,1
28,2513.4739958416776,22768.596253406955,19,649.9906666727578,1
68,2688.5695641994234,36993.96648528021,27,679.6089887660527,1
34,3147.0365335898105,25283.648631430384,1,715.9207665807453,1
25,5230.657216245312,27000.778103886598,36,583.7401656016045,1
52,5556.519311095391,35532.574268644166,17,693.9685907970666,1
52,4763.111079710811,40708.97787039677,38,576.5257245770707,1
50,4948.7604640927075,35951.529450631,21,702.9481022654282,1
22,4984.180684552969,38527.628363566364,24,663.5441282855969,1
59,1000.0,37095.77460661156,35,593.5877521371506,1
56,4015.2965230106747,30083.027037379612,2,677.5218331053713,1
58,1305.3119182449923,33945.83915443318,7,589.0277426182561,1
45,4763.709213507311,48258.92141955402,2,587.9438584334343,1
24,1000.0,28040.632574839667,26,647.8932896769657,1
26,3729.342196973951,19075.5065874363,36,673.6262464205676,1
25,4821.65466402938,5000.0,30,697.7230448332435,0
29,2323.363077525532,49355.754171680586,1,612.8213312531841,1
51,5442.57394076983,49808.06951888445,23,591.2232115519822,1
50,4759.9332549276205,20091.426556953054,38,552.1364082715573,1
65,4571.237043756864,42859.641858151335,17,558.1203772382347,1
40,5047.002381265798,40325.36381154914,29,705.7819001927335,1
41,3461.1998683500165,36412.235739152304,16,648.8668878851856,1
54,4227.878295635213,35031.97454451668,4,705.4745698567738,1
52,4015.0773583512987,22553.666341664954,3,629.2323046483414,1
61,3981.1765830757827,31293.16822739129,0,642.9874949120526,1
57,2991.953385029384,33479.67913904726,15,731.4802120560781,1
39,2136.201827915941,30697.372602311,27,705.3429882180275,1
44,3494.712476065787,29452.693568495095,35,609.3822335681405,1
52,3412.078139208599,43003.91415341341,3,678.9140959429385,1
18,2894.9035187246654,40156.858693670365,3,735.2856597650962,1
52,5278.080672715037,38742.431909247985,19,615.9663051824152,1
54,2241.6900732165805,39323.859414302526,28,725.9113772560165,1
64,3742.736261663138,32293.256790281506,30,624.222433527177,1
31,5749.509567341878,41659.98045512373,5,521.7841132704883,1
20,5363.694028899328,18018.836285809124,4,618.4301290699389,1
18,5824.4408276459235,30695.576182096564,1,629.7974372020064,1
22,3113.8291339386597,37080.49465114635,37,562.1301992887561,1
43,5176.432188591561,35434.470804524506,33,576.2829349578705,1
31,2405.544404532802,33743.528797338055,28,650.5834883530495,1
56,3586.1890662751894,39270.8759136733,13,663.650491686752,1
44,3727.3662838297105,44410.42019857313,17,631.6379169451735,1
26,3136.2396817029844,19364.58549220278,19,670.8669578802142,1
32,3457.279017873212,33003.59175401963,20,622.2440287841298,1
32,3259.936108753971,22776.688126226854,39,645.3416884928847,1
43,2526.409283347457,40700.391799773264,24,694.0516692128672,1
59,5284.620259008687,37239.875406347746,10,651.3948737674505,1
30,3726.324995688596,20296.66045232823,31,545.8329025216276,1
68,4302.154815875929,29933.22140041366,16,614.4839301431995,1
49,4245.665306789282,14988.646745726384,7,614.2561161058428,1
56,4082.089637665032,39498.600071207766,24,623.172678158123,1
66,4139.206819084643,24641.734038165287,4,711.6440471557827,1
69,3541.874169953468,18697.90338123942,8,671.9211949750984,1
49,6127.595302772294,26543.866832650834,22,648.6686019290165,1
21,5141.1171424530385,35838.54839121557,15,636.928366091016,1
47,4027.5730491565296,32868.99930731054,12,625.7921200663499,1
54,3329.4183460509053,25108.931635452347,10,659.7263755002106,1
40,3821.7687359063793,28950.556536450655,9,752.2663220437091,1
56,4626.432274557618,27082.331051056717,39,687.2888204317827,1
62,6249.910138804467,20659.197937988443,34,567.2292141246241,1
32,1940.428683002433,11343.355200848142,12,638.5374505848101,1
60,4989.662137962667,29935.59354067533,6,751.11307152686,1
46,5690.085455167951,35850.067738430276,38,634.5693758813012,1
53,1769.922295142152,29840.580765167113,35,586.8940807042376,1
30,3728.273684903088,50497.46825263534,14,664.756184333268,1
49,2403.2230403754415,24042.153066334165,26,675.7558669853852,1
24,4645.794417515552,29581.146885444672,20,640.0780588524722,1
68,3462.4736014666714,34860.971608919004,30,676.0332769533262,1
39,3804.791399679812,34407.01131695935,7,705.9595280463961,1
45,3383.4162890822886,27441.065632189835,22,696.9103106375422,1
19,5080.2451491524025,29457.833448297468,25,683.991678668843,1
59,4343.549440897207,29166.742494722002,6,616.2618409083966,1
62,4346.390146059483,36832.64014446094,35,671.6303515748045,1
23,4240.93273762218,23050.985868806874,9,647.4441833769117,1
45,4858.736320678206,5662.578352793851,23,555.9564774135315,0
45,3607.042217715515,26568.86351359967,36,534.5418015415092,1
61,6551.162181311391,46878.473345796534,4,643.4787545345605,1
61,2147.8078731722208,38012.81191027821,17,649.5080478050533,1
37,1411.122327745527,14313.69289920642,1,521.0471312016634,1
47,1286.97914708714,36750.99344235007,31,612.5773782909134,1
28,1000.0,32084.321677908705,12,604.1154863350758,1
45,5009.754722230378,26250.664108574292,29,524.4458200038126,1
42,4827.0515489239615,19218.796454998403,0,689.9324595027301,0
56,5811.664737663392,21864.09532413015,37,663.9972291696952,1
50,2415.042677941717,24400.649203946192,37,596.6438725817383,1
18,5118.192182118251,48352.511522124434,25,636.821358515092,1
44,4085.236093223959,36401.05079963332,12,682.0211188226893,1
69,4249.879748733789,22904.13675435547,35,688.4476027633295,1
30,4938.434343024412,24579.981432569897,36,563.1661064191762,1
58,2865.5773734063346,29625.514718584538,36,642.4791761037536,1
20,7880.873703106731,25668.233060502258,36,573.2086981404997,1
56,5997.82045641303,30156.793753885773,22,629.703654551427,1
23,3202.4410690069594,28542.670726524524,10,604.1562779443676,1
25,2363.8929134149785,30972.711580778003,18,650.2857842429875,1
44,3868.1437572929626,10016.835253409496,3,687.1806983229784,0
26,4273.387665373063,38002.904330109035,19,589.9771075329645,1
54,5598.422889562466,24398.683848585846,10,669.4552572293251,1
50,2246.918632647511,39068.490702116906,16,608.6804431737957,1
68,4428.230414798749,51960.731224372226,18,554.5878810149884,1
59,1706.4774633778165,15473.307882644667,36,779.8941119660775,1
61,4654.536390116678,30984.303472425294,39,628.5326686540307,1
41,3838.743669312924,25799.22534650509,12,714.4294064587523,1
32,6905.0196434286445,33948.127839814,0,679.8511216118179,1
49,1680.9961836704847,8926.529962154076,7,625.060578563373,0
49,6055.912572235157,26417.60990031984,38,697.0987004093276,1
41,1444.2529972506723,21813.77740569124,36,600.1240572658439,1
58,2009.1845883902438,46270.2871367712,11,565.5155886879595,1
69,1484.3581622917523,48593.02468803787,19,699.6099109086842,1
66,4375.528912676581,27138.789273269464,37,525.3846095658326,1
66,2239.4517838693996,18527.438010544043,8,649.7447233696806,1
69,1977.502742079193,21614.061120648897,17,730.5173263415807,1
29,4304.151402435071,30390.53779799809,27,631.568057631759,1
56,4677.663078812036,15986.651766245732,31,683.8321390274425,0
19,4059.7739562254887,35190.58575318886,1,719.5247837193547,1
20,3756.671276467671,28037.307690346282,30,603.644362291607,1
66,6743.364448655768,33563.26054284794,28,619.6325541712955,1
54,4218.754399362955,33943.95058403137,11,596.5046292491954,1
66,5208.5372108833735,43794.16198020642,20,645.9087226597708,1
34,4214.383188534938,36350.2313757574,14,617.594426605201,1
66,2353.185567617974,32929.585884438224,14,660.4014627462561,1
19,4824.8315228530255,32492.452138543656,9,667.2171052975348,1
19,3016.3040327953117,10217.329222305561,36,648.9734481245774,0
45,3863.5207929411454,31796.60473651151,25,681.8232308371046,1
40,4458.104022840139,36121.41586792821,37,714.3926749256075,1
54,1087.8728996700356,28787.789661555857,11,610.2868326837395,1
49,1585.7468141624067,46648.23631274968,34,672.5649965571704,1
50,5364.188758746344,15146.0227263008,18,653.1335264580961,0
18,3004.380330101584,22601.39931677883,8,737.6806005243288,1
36,3075.5170163367084,23647.731798597193,23,660.9092681750728,1
19,4249.65759605623,30092.65951922241,25,670.5287952903425,1
61,3421.491104317196,23535.170058665688,31,670.9082667399191,1
43,4626.382572464185,17594.510141822204,18,700.0190039278161,1
49,3923.317316900434,26442.163770456587,20,572.1486551017556,1
23,4297.904425270673,40147.93082160697,3,655.1588469571846,1
49,2947.2124146366214,37541.86230895508,13,641.4838852048008,1
21,4290.392234921392,23050.839558116644,13,624.643747844224,1
28,5657.633630253165,26266.528584214248,38,634.3388097595072,1
34,3148.377675828702,22223.63363439183,0,652.0748034292268,1
55,5372.977450408227,17385.395177092127,13,718.3767401343243,0
41,3922.6595225160263,34269.76949620675,36,564.7498988379972,1
22,5101.722483966907,17188.846021165627,0,596.5163100545473,1
69,4193.156977529667,36628.562555096025,34,677.9665175636358,1
51,3949.8836198531103,48186.42628242435,21,596.2682738977053,1
23,4524.594523114549,33756.810811781615,16,685.7178012030789,1
39,5820.396343453373,36227.626503332925,31,607.6175249641209,1
28,4354.145941322613,35942.808155272425,33,665.8139927557743,1
65,4717.796246362596,25113.31456916491,37,689.741348303538,1
33,3447.272629634948,33699.79688009123,36,672.5327285120593,1
50,6356.329710992539,33123.66099051351,10,604.4959292736354,1
26,4960.505666394507,23741.092346572153,30,672.0422563738973,1
23,4116.562690037509,5000.0,25,654.0531217615747,0
33,3816.019491617988,19520.81979936682,0,583.2345571190715,1
46,5466.862403909666,20579.160932677456,32,587.49596326768,1
20,3090.6938844321107,35010.025795977934,36,609.4146320926864,1
37,1325.6874755930007,15210.929984501452,39,731.7365672551473,0
53,4108.599399136683,48709.13990117541,33,713.80796598517,1
36,5785.0068596715155,46292.32538369504,5,690.2551151908681,1
43,6386.9632167770105,40521.7983119426,36,655.0836151580995,1
20,3839.05908484918,24899.238603541082,6,727.6442596798614,1
36,4065.381495912675,9214.40669973112,0,652.8936775717518,0
37,4779.295648773933,38321.83732671379,19,600.1228074194767,1
49,3603.4758717043524,22521.16147538735,36,654.9713427974463,1
24,4774.608922586724,37875.43664680421,10,643.3578340973045,1
69,3871.897373397598,36012.28903009321,4,653.8161502906886,1
58,5517.0523857852695,25599.50965831176,22,653.9632638981836,1
50,5084.470769646736,17798.41191543529,28,658.6738407797422,1
57,5215.341748453649,31871.87351900233,27,642.4703392896786,1
56,3692.023532796868,14303.022272449163,5,686.7393211196087,0
35,6888.890980753392,32811.28159288109,34,631.3352081070209,1
57,4725.867913569208,34701.60468607728,17,647.0388901848033,1
18,4370.941080230247,23404.805676184922,1,582.764054486352,1
28,2858.5855291495427,14968.646850255762,16,610.9279247822598,1
45,3854.392269777169,46282.678924876986,28,671.3063184353997,1
42,4171.569641053954,24651.938259437982,1,595.4059066303342,1
67,2818.48405536355,27927.187202437428,31,713.2356374686992,1
40,3561.5242813463683,40914.27186499722,32,606.7881489196877,1
48,3751.299972845485,24316.93407849758,16,707.2945922387064,1
47,4083.880991384827,22384.983777574424,4,656.562729910076,1
59,1355.9395149375937,50101.282665249324,30,646.9460030613564,1
52,3797.0941889436035,22673.35786449947,9,643.3196101242204,1
24,3433.9807253801027,42168.12867197827,12,687.9152137012136,1
33,3968.6737755626505,31530.100480442678,3,701.6487210478423,1
43,5552.914849270384,31318.991271493025,25,655.2572235988652,1
